category,experiment,stage,run_id,status
winning,original_cross_attention_5fold_8x_tta,heldout_evaluation,jl9wh4bc,accepted_component
winning,encoder_meanmax_mlp,5fold_oof_training,i1jb6pvz,accepted_component
winning,encoder_meanmax_mlp,heldout_evaluation,yc8yrzsb,accepted_component
winning,equal_geometric_fusion,heldout_evaluation,mwfad9f2,accepted
winning,encoder_meanmax_mlp,test_inference,f8dup16y,locked
winning,equal_geometric_fusion,test_inference,jbe5g05b,locked
winning,submission_provenance,artifact_verification,4u1a4eld,verified
pooling_ablation,matched_gap_fold0,training,3oqg3x3t,complete_rejected
pooling_ablation,matched_gap_fold1,training,kmxjk8de,complete_rejected
pooling_ablation,matched_gap_fold2,training,mbe9h63y,complete_rejected
pooling_ablation,matched_gap_fold3,training,b2wemjrm,complete_rejected
pooling_ablation,matched_gap_fold4,training,nnx6h0y0,complete_rejected
pooling_ablation,matched_gap,oof_no_tta_evaluation,0360xwn2,complete_rejected
pooling_ablation,matched_gap,oof_8x_tta_evaluation,2xxb79xy,complete_rejected
pooling_ablation,matched_gap,heldout_no_tta_evaluation,fochbcey,complete_rejected
pooling_ablation,matched_gap,heldout_8x_tta_evaluation,6s0f29f4,complete_rejected
augmentation,continued_cross_attention_mild_da,5fold_best_f1_oof_evaluation,u311o13g,complete_rejected
augmentation,continued_cross_attention_mild_da,5fold_best_auroc_oof_evaluation,y52vx4ou,complete_rejected
augmentation,restored_rich_intensity_fold0,best_f1_oof_evaluation,3yyvfd0l,complete_rejected
augmentation,restored_rich_intensity_fold0,best_auroc_oof_evaluation,3566xaa4,complete_rejected
augmentation,panda_mild_geometry_pooling_mlp_fold0,training,w8hbbbpi,complete_rejected
augmentation,panda_mild_geometry_pooling_mlp_fold0,best_f1_oof_evaluation,fhefbdqq,complete_rejected
augmentation,panda_original_backbone_whole_roi_fold0,training,4ehxm56w,complete_rejected
augmentation,panda_original_backbone_whole_roi_fold0,best_f1_oof_evaluation,9lrnkj6l,complete_rejected
augmentation,panda_high_signal_no_rotation_scaling_fold0,12_epoch_internal_gate,eq0fzfvv,complete_rejected_one_class
feature_augmentation,paired_meanmax_mlp_no_noise,oof_training,9ys0h0ks,complete_baseline
feature_augmentation,paired_meanmax_mlp_noise_dropout,oof_training,gjz0y00g,complete_rejected
feature_augmentation,paired_meanmax_mlp_noise_dropout,heldout_evaluation,oxa46pex,complete_rejected
feature_augmentation,paired_meanmax_mlp_noise_dropout_seed20260804,oof_training,a86c2nhl,complete_rejected
feature_augmentation,paired_meanmax_mlp_noise_dropout_seed20260804,heldout_evaluation,s14v71jq,complete_rejected
feature_augmentation,all_encoder_members_no_noise,oof_training,rgjs3w90,complete_rejected
feature_augmentation,all_encoder_members_noise_dropout,oof_training,uhs9slja,complete_rejected
tta,original_cross_attention_top3,oof_evaluation,0zxukorg,complete_rejected
tta,original_cross_attention_gamma,oof_evaluation,qmotoli6,complete_rejected
tta,original_cross_attention_dense_step,oof_evaluation,o34so8qd,complete_rejected
